country,Region,lat,long,displayName,layerName,layerTitle,year,value,study.Id,site.number,site,study.start,study.end,marker.type,tested,present,Mixed.present,author,publication.year,publication.URL,title,notes,pubmed.Id,drug,marker.group,percentage,included.or.excluded,PR,Prev_DR
Afghanistan,Asia,34.43,70.45,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2002,0.005432858131825924,21699697,2,Jalalabad,2002,2003,pfmdr1 86Y,151,33,33,Howard N,2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3132200&tool=pmcentrez&rendertype=abstract,NA,21699697,Clinical trial of extended-dose chloroquine for treatment of resistant falciparum malaria among Afghan refugees in Pakistan.,Amodiaquine,pfmdr1 86Y,22,NA,0.5432858131825924,21.85430463576159
Angola,Southern Africa,-7.61,15.05,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2004,0.2623843848705292,19708897,0,Uige Provincial Hospital,2004,2004,pfmdr1 86Y,66,24,45,Menegon M,2009,http://www.ncbi.nlm.nih.gov/pubmed/19708897,NA,19708897,"Monitoring for multidrug-resistant Plasmodium falciparum isolates and analysis of pyrimethamine resistance evolution in Uige province, Angola.",Amodiaquine,pfmdr1 86Y,68,NA,26.238438487052917,36.36363636363637
Angola,Southern Africa,-8.84,13.23,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2005,0.06970688700675964,19014684,0,Luanda,2005,2005,pfmdr1 86Y,199,122,142,Figueiredo P,2008,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2613152&tool=pmcentrez&rendertype=abstract,NA,19014684,"Prevalence of pfmdr1, pfcrt, pfdhfr and pfdhps mutations associated with drug resistance, in Luanda, Angola.",Amodiaquine,pfmdr1 86Y,71,NA,6.970688700675964,61.30653266331658
Bangladesh,Asia,23.24,92.07,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2002,0.04203068092465401,15189458,0,"Dighinala upazilla, Baghaichara, Pujgang, Panchari upazilla",2002,2002,pfmdr1 86Y,173,121,121,van den Broek IVF,2004,http://www.ncbi.nlm.nih.gov/pubmed/?term=15189458,Clinical Q+SP data available. Mixed infection,15189458,Drug resistance in Plasmodium falciparum from the Chittagong Hill Tracts,Amodiaquine,pfmdr1 86Y,70,NA,4.203068092465401,69.94219653179191
Brazil,South America,-3.77,-49.68,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2005,0.0002954551891889423,18304266,0,Tucurui,2005,2005,pfmdr1 86Y,56,0,0,Ferreira ID,2008,http://www.ncbi.nlm.nih.gov/pubmed/18304266,In vitro ARS ARM data available.,18304266,Plasmodium falciparum from Pará state (Brazil) shows satisfactory in vitro response to artemisinin derivatives and absence of the S769N mutation in the SERCA-type PfATPase6.,Amodiaquine,pfmdr1 86Y,0,NA,0.02954551891889423,0
Burkina Faso,West Africa,12.58,-1.3,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2002,0.7829916477203369,17538894,0,"Ziniaré, Boussé",2002,2002,pfmdr1 86Y,999,445,445,Diallo DA,2007,http://www.ncbi.nlm.nih.gov/pubmed/17538894,Clinical CQ data available. In the publicatio,17538894,Children in Burkina Faso who are protected by insecticide-treated materials are able to clear drug-resistant parasites better than unprotected children.,Amodiaquine,pfmdr1 86Y,45,NA,78.29916477203369,44.54454454454454
Burkina Faso,West Africa,11.18,-4.29,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2003,0.6861259937286377,16837725,0,Bobo-Dioulasso,2003,2003,pfmdr1 86Y,110,48,48,Dokomajilar C,2006,http://www.16837725.nlm.nih.gov/pubmed/16837725,Clinical AQ data and post-treatment genotypes,16837725,Roles of specific Plasmodium falciparum mutations in resistance to amodiaquine and sulfadoxine-pyrimethamine in Burkina Faso.,Amodiaquine,pfmdr1 86Y,44,I,68.61259937286377,43.63636363636363
Burkina Faso,West Africa,12.73,-3.87,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2005,0.45815056562423706,20060374,0,Nouna,2005,2005,pfmdr1 86Y,111,18,35,Danquah I,2010,http://www.ncbi.nlm.nih.gov/pubmed/20060374,"Clinical data AQ, post-treatment genotypes",20060374,Selection of pfmdr1 and pfcrt alleles in amodiaquine treatment failure in north-western Burkina Faso.,Amodiaquine,pfmdr1 86Y,32,NA,45.815056562423706,16.216216216216218
Burkina Faso,West Africa,12.35,-1.52,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2005,0.19572493433952332,18304270,0,NA,2005,2005,pfmdr1 86Y,195,58,58,Tinto H,2008,http://www.ncbi.nlm.nih.gov/pubmed/18304270,Clinical AQ data available.,18304270,Chloroquine-resistance molecular markers (Pfcrt T76 and Pfmdr-1 Y86) and amodiaquine resistance in Burkina Faso.,Amodiaquine,pfmdr1 86Y,30,NA,19.57249343395233,29.743589743589745
Burkina Faso,West Africa,12.35,-1.52,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2005,0.19572493433952332,25403659,1,NA,2005,2005,pfmdr1 86Y,272,49,102,"Baraka V, Tinto H, Valea I, Fitzhenry R, Delgado-Ratto C, Mbonye MK, Van Overmeir C, Rosanas-Urgell A, Van Geertruyden JP, D'Alessandro U, Erhart A",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=25403659,NA,25403659,In vivo selection of Plasmodium falciparum Pfcrt and Pfmdr1 variants by artemether-lumefantrine and dihydroartemisinin-piperaquine in Burkina Faso.,Amodiaquine,pfmdr1 86Y,38,NA,19.57249343395233,18.014705882352946
